"time","sineVoltage.i","capacitor.i","inductor.i","resistor.i"
0.002958,-1.268076257929646,1.268076257929646,1.268076257929646,1.268076257929646
0.00306,-1.322131832228288,1.322131832228288,1.322131832228288,1.322131832228288
0.003162,-1.374472199366957,1.374472199366957,1.374472199366957,1.374472199366957
0.003264,-1.424892197690179,1.424892197690179,1.424892197690179,1.424892197690179
0.003366,-1.473193180428299,1.473193180428299,1.473193180428299,1.473193180428299
0.003468,-1.519183363564979,1.519183363564979,1.519183363564979,1.519183363564979
0.00357,-1.562678385630616,1.562678385630616,1.562678385630616,1.562678385630616
0.003672,-1.603501371938385,1.603501371938385,1.603501371938385,1.603501371938385
0.003774,-1.641483448210922,1.641483448210922,1.641483448210922,1.641483448210922
0.003876,-1.676464016913032,1.676464016913032,1.676464016913032,1.676464016913032
0.003978,-1.708290710792642,1.708290710792642,1.708290710792642,1.708290710792642
0.00408,-1.736820256489953,1.736820256489953,1.736820256489953,1.736820256489953
0.004182,-1.761918083100991,1.761918083100991,1.761918083100991,1.761918083100991
0.004284,-1.783458886382072,1.783458886382072,1.783458886382072,1.783458886382072
0.004386,-1.801327151017635,1.801327151017635,1.801327151017635,1.801327151017635
0.004488,-1.815416230934654,1.815416230934654,1.815416230934654,1.815416230934654
0.00459,-1.825630081689053,1.825630081689053,1.825630081689053,1.825630081689053
0.004692,-1.831882010328992,1.831882010328992,1.831882010328992,1.831882010328992
0.004794,-1.834095064293217,1.834095064293217,1.834095064293217,1.834095064293217
0.004896,-1.832203628402454,1.832203628402454,1.832203628402454,1.832203628402454
0.004998,-1.826150282066829,1.826150282066829,1.826150282066829,1.826150282066829
0.0051,-1.815889292079472,1.815889292079472,1.815889292079472,1.815889292079472
0.005202,-1.801385037237831,1.801385037237831,1.801385037237831,1.801385037237831
0.005304,-1.782611950955771,1.782611950955771,1.782611950955771,1.782611950955771
0.005406,-1.759555156301777,1.759555156301777,1.759555156301777,1.759555156301777
0.005508,-1.732209208640817,1.732209208640817,1.732209208640817,1.732209208640817
0.00561,-1.700579293510199,1.700579293510199,1.700579293510199,1.700579293510199
0.005712,-1.664680647056814,1.664680647056814,1.664680647056814,1.664680647056814
0.005814,-1.624537850381496,1.624537850381496,1.624537850381496,1.624537850381496
0.005916,-1.580186880648754,1.580186880648754,1.580186880648754,1.580186880648754
0.006018,-1.531671931678338,1.531671931678338,1.531671931678338,1.531671931678338
0.00612,-1.479047845868183,1.479047845868183,1.479047845868183,1.479047845868183
0.006222,-1.422379690697204,1.422379690697204,1.422379690697204,1.422379690697204
0.006324,-1.361739947024724,1.361739947024724,1.361739947024724,1.361739947024724
0.006426,-1.297211297746465,1.297211297746465,1.297211297746465,1.297211297746465
0.006528,-1.228884734304545,1.228884734304545,1.228884734304545,1.228884734304545
0.00663,-1.156860283151771,1.156860283151771,1.156860283151771,1.156860283151771
0.006732,-1.081246937956591,1.081246937956591,1.081246937956591,1.081246937956591
0.006834,-1.002161091278357,1.002161091278357,1.002161091278357,1.002161091278357
0.006936,-0.9197281122032217,0.9197281122032217,0.9197281122032217,0.9197281122032217
0.007038,-0.8340801186721377,0.8340801186721377,0.8340801186721377,0.8340801186721377
0.00714,-0.7453564842397271,0.7453564842397271,0.7453564842397271,0.7453564842397271
0.007242,-0.6537048928568565,0.6537048928568565,0.6537048928568565,0.6537048928568565
0.007344,-0.5592780875999191,0.5592780875999191,0.5592780875999191,0.5592780875999191
0.007446,-0.4622360437772973,0.4622360437772973,0.4622360437772973,0.4622360437772973
0.007548,-0.3627444624161376,0.3627444624161376,0.3627444624161376,0.3627444624161376
0.00765,-0.260974818501403,0.260974818501403,0.260974818501403,0.260974818501403
0.007752,-0.1571045807322364,0.1571045807322364,0.1571045807322364,0.1571045807322364
0.007854,-0.05131542802717565,0.05131542802717565,0.05131542802717565,0.05131542802717565
0.007956,0.05620554734511452,-0.05620554734511452,-0.05620554734511452,-0.05620554734511452
0.008058,0.165267222666043,-0.165267222666043,-0.165267222666043,-0.165267222666043
